序号,场馆ID,地区,场馆名称,地址,纬度,经度,距上海中心(m)
1,164,黄浦区,上海当代艺术馆,黄浦区南京西路231号,31.231409,121.472818,140
2,33,黄浦区,上海城市规划展示馆,人民大道100号,31.231261,121.475502,196
3,18,黄浦区,上海博物馆,人民大道201号,31.228514,121.475305,259
4,20,黄浦区,上海市历史博物馆(上海革命历史博物馆),南京西路325号,31.23097,121.47093,271
5,170,黄浦区,上海民生现代美术馆,黄浦区威海路48号5-6F,31.228409,121.470285,393
6,34,黄浦区,上海体育博物馆,南京西路150号,31.233725,121.471968,405
7,165,黄浦区,春美术馆,黄浦区福州路655号2楼,31.23211,121.478663,509
8,167,黄浦区,上海新视艺正和美术馆,黄浦区淮海中路300号B3,31.223454,121.473824,772
9,46,静安区,上海棋牌文化博物馆,南京西路595号上海棋院1楼,31.230514,121.465559,774
10,26,黄浦区,上海周虎臣曹素功笔墨博物馆,福州路429号2楼,31.233618,121.482411,902
11,49,静安区,中共二大会址纪念馆,老成都北路7弄30号,31.224223,121.466654,959
12,37,静安区,上海四行仓库抗战纪念馆,光复路21号,31.2403,121.47126,1125
13,19,黄浦区,中国共产党第一次全国代表大会纪念馆,黄陂南路374号,31.220204,121.475185,1143
14,35,静安区,上海自然博物馆(上海科技馆分馆),北京西路510号,31.234992,121.46265,1168
15,44,静安区,中国劳动组合书记部旧址陈列馆,成都北路893弄1-11号,31.237747,121.463962,1235
16,23,黄浦区,中国社会主义青年团中央机关旧址纪念馆,淮海中路567弄1-6号,31.220252,121.468087,1248
17,48,静安区,中共中央军委机关旧址纪念馆,新闸路613弄12号,31.237014,121.462683,1280
18,39,静安区,上海毛泽东旧居陈列馆,茂名北路120弄,31.226358,121.460539,1330
19,41,静安区,中共三大后中央局机关历史纪念馆,浙江北路118号,31.243677,121.476302,1497
20,31,黄浦区,上海市银行博物馆,复兴中路301号,31.216429,121.476336,1574
21,28,黄浦区,上海电信博物馆,延安东路34号,31.233347,121.490785,1657
22,30,黄浦区,童涵春堂中药博物馆,豫园新路20号3楼(豫园商城内),31.22715,121.49102,1686
23,25,黄浦区,上海孙中山故居纪念馆,香山路7号,31.216129,121.467691,1687
24,43,静安区,元利当铺旧址博物馆,武定路203号,31.235189,121.456106,1756
25,168,黄浦区,上海外滩美术馆,黄浦区虎丘路20号,31.241213,121.487618,1788
26,169,黄浦区,胡问遂艺术馆,黄浦区福佑路199号,31.228416,121.492767,1826
27,22,黄浦区,中共代表团驻沪办事处纪念馆(周公馆),思南路73号,31.214199,121.468485,1868
28,86,虹口区,上海邮政博物馆,天潼路395号,31.24439,121.484795,1880
29,36,静安区,上海印刷字体展示馆,新闸路1209弄60号,31.232252,121.452971,1982
30,29,黄浦区,上海市外滩历史纪念馆,中山东一路475号,31.242303,121.49147,2146
31,45,静安区,上海铁路博物馆,天目东路200号,31.25003,121.476225,2196
32,87,虹口区,中国证券博物馆,黄浦路15号,31.244251,121.490944,2249
33,166,黄浦区,上海复星艺术中心,黄浦区中山东二路600号,31.226889,121.49794,2338
34,176,徐汇区,上海明圆美术馆,徐汇区复兴中路1199号A座B1,31.212636,121.458839,2429
35,50,静安区,中共中央秘书处机关旧址纪念馆,江宁路673弄10号,31.237545,121.449234,2458
36,6,浦东新区,上海震旦博物馆,富城路99号,31.234705,121.499411,2491
37,27,黄浦区,上海琉璃艺术博物馆,泰康路25号,31.207803,121.47033,2533
38,47,静安区,上海寰宇铃铛博物馆,西康路538号1幢2楼,31.234438,121.447237,2556
39,40,静安区,中共上海地下组织斗争史陈列馆暨刘长胜故居,愚园路81号,31.22473,121.446688,2645
40,42,静安区,上海蔡元培故居陈列馆,华山路303弄16号,31.218921,121.447813,2773
41,79,普陀区,沪西工人半日学校史料陈列馆,西苏州路1037号,31.243698,121.448483,2817
42,51,静安区,中共中央特科机关旧址纪念馆,武定路930弄14号,31.230807,121.443569,2865
43,58,徐汇区,上海工艺美术博物馆,汾阳路79号,31.210124,121.454466,2903
44,122,嘉定区,顾维钧生平陈列馆,南大街349号,31.20799,121.458028,2904
45,88,虹口区,中共四大纪念馆,四川北路1468号,31.254997,121.484919,2936
46,5,浦东新区,上海观复博物馆,银城中路501号上海中心大厦37层,31.233609,121.505636,3057
47,83,普陀区,上海纺织博物馆,澳门路128号,31.246907,121.446125,3200
48,15,浦东新区,上海吴昌硕纪念馆,陆家嘴东路15号,31.236815,121.506924,3238
49,154,浦东新区,上海吴昌硕纪念馆,浦东新区陆家嘴东路15号,31.236815,121.506924,3238
50,38,静安区,上海眼镜博物馆,宝昌路533号,31.26007,121.472734,3300
51,174,徐汇区,上海市徐汇区艺术馆,徐汇区淮海中路1413号,31.210243,121.448171,3304
52,173,静安区,上海静安大风堂美术馆,静安区恒丰北路100号26楼,31.255139,121.45149,3468
53,24,黄浦区,上海三山会馆管理处,中山南路1551号,31.205322,121.495674,3485
54,78,普陀区,顾正红纪念馆,澳门路300号,31.247101,121.442506,3499
55,150,市级馆,上海中国画院美术馆,徐汇区岳阳路197号,31.204416,121.452897,3502
56,64,徐汇区,衡复风貌博物馆群-张乐平故居,五原路288弄3号,31.212566,121.443331,3503
57,57,徐汇区,上海公安博物馆,瑞金南路518号,31.198407,121.468301,3594
58,186,虹口区,上海多伦现代美术馆,虹口区多伦路27号,31.261884,121.483071,3612
59,162,浦东新区,上海浦东新区叁柒贰叁美术馆,浦东新区银城路66号2层206、207a、207b、208单元,31.241381,121.510122,3672
60,65,徐汇区,衡复风貌博物馆群-柯灵故居,复兴西路147号,31.210521,121.442349,3711
61,89,虹口区,左联会址纪念馆,多伦路201弄2号,31.26359,121.481039,3756
62,66,徐汇区,衡复风貌博物馆群-夏衍旧居,乌鲁木齐南路178号2号楼,31.203256,121.44903,3823
63,67,徐汇区,衡复风貌博物馆群-草婴书房,乌鲁木齐南路178号3号楼,31.203105,121.449007,3837
64,159,浦东新区,上海艺仓美术馆,浦东新区滨江大道4777号,31.216632,121.512387,3985
65,152,市级馆,上海当代艺术博物馆,黄浦区苗江路678号,31.201176,121.498525,4017
66,21,黄浦区,上海世博会博物馆,蒙自路818号,31.194437,121.482161,4079
67,32,黄浦区,国际乒联博物馆(中国乒乓球博物馆),局门路796号,31.193327,121.481285,4185
68,90,虹口区,李白烈士故居,黄渡路107弄15号,31.268026,121.481402,4247
69,91,虹口区,上海犹太难民纪念馆,长阳路62号,31.254228,121.509128,4285
70,56,徐汇区,上海宋庆龄故居纪念馆,淮海中路1843号,31.203886,121.439097,4418
71,59,徐汇区,中国科学院上海昆虫博物馆,枫林路300号,31.19353,121.455236,4460
72,85,虹口区,上海鲁迅纪念馆,甜爱路200号,31.269737,121.483766,4478
73,69,徐汇区,《义勇军进行曲》灌制地纪念馆（百代小楼）,衡山路811号,31.197822,121.441873,4721
74,61,徐汇区,钱学森图书馆,华山路1800号,31.20106,121.435507,4882
75,92,杨浦区,国歌展示馆,荆州路151号,31.257944,121.5145,4942
76,70,长宁区,上海市长宁区革命文物陈列馆,愚园路1376弄34号,31.219762,121.423124,4952
77,185,虹口区,朱屺瞻艺术馆,虹口区欧阳路580号,31.274441,121.486119,5037
78,183,长宁区,上海正好美术馆,长宁区愚园路300弄7号B幢107室,31.204431,121.428495,5179
79,81,普陀区,上海元代水闸遗址博物馆,延长西路619号,31.259613,121.430361,5247
80,72,长宁区,上海凝聚力工程博物馆,长宁路878号,31.220267,121.419444,5281
81,93,杨浦区,中国烟草博物馆,长阳路728号,31.261441,121.518493,5481
82,148,市级馆,中华艺术宫（上海美术馆）,浦东新区上南路205号,31.18438,121.494724,5494
83,149,市级馆,刘海粟美术馆,长宁区延安西路1609号,31.209508,121.419496,5654
84,68,徐汇区,上海气象博物馆,蒲西路166号,31.189716,121.43724,5700
85,156,浦东新区,上海王狮美术馆,浦东新区潍坊路328号,31.22844,121.535401,5871
86,53,徐汇区,徐光启纪念馆,南丹路17号,31.189122,121.434258,5928
87,62,徐汇区,上海电影博物馆,漕溪北路595号,31.186331,121.438082,5957
88,74,长宁区,上海艺术品博物馆,延安西路1731号天山公园内,31.210891,121.41461,6023
89,73,长宁区,上海消防博物馆,中山西路229号,31.218267,121.411304,6085
90,54,徐汇区,上海土山湾博物馆,蒲汇塘路55号,31.18662,121.435154,6094
91,71,长宁区,上海(东华大学）纺织服饰博物馆,延安西路1882号,31.20455,121.414854,6291
92,1,浦东新区,上海博物馆东馆,浦东新区世纪大道1952号,31.219913,121.538745,6294
93,84,普陀区,华东师范大学博物馆,中山北路3663号博创楼二楼,31.231267,121.406779,6364
94,96,杨浦区,同济大学博物馆,四平路1239号,31.281788,121.503932,6396
95,55,徐汇区,上海市龙华烈士纪念馆,龙华西路180号,31.17581,121.449517,6491
96,171,静安区,明当代美术馆,静安区永和东路436号,31.290624,121.458328,6854
97,182,长宁区,上海长宁华萃当代美术馆,长宁区长宁路1978号,31.218827,121.401307,7003
98,100,杨浦区,上海世界技能博物馆,杨树浦路1578号,31.255868,121.541581,7047
99,175,徐汇区,西岸美术馆,徐汇区龙腾大道2600号,31.167591,121.463854,7047
100,211,松江区,洙桥美术馆,松江区洙桥村696号,31.167591,121.463854,7047
101,77,长宁区,宋庆龄生平事迹陈列馆,宋园路21号,31.195083,121.411363,7111
102,172,静安区,心象艺术馆,静安区汶水路40号宏慧视界BOX一号库2号楼,31.293383,121.457616,7168
103,75,长宁区,上海广播博物馆,虹桥路1376号,31.196645,121.407491,7330
104,177,徐汇区,上海油罐艺术中心,徐汇区龙腾大道2380号,31.164515,121.464302,7380
105,153,市级馆,上海中国画院程十发美术馆,长宁区虹桥路1398号,31.197656,121.405309,7454
106,76,长宁区,上海对外经贸大学博物馆,古北路620号,31.207428,121.398581,7586
